epoch,loss,val_loss
0,2.423946149026863,1.156374191519004
1,1.1540319873273794,0.8326363958905091
2,0.9752137879404031,0.7949803163058794
3,0.8935533799851307,0.6262925054559756
4,0.8497319709035962,0.6567792955355428
5,0.8039765228168695,0.624228119251117
6,0.7819316722828553,0.7301265630290736
7,0.7389774099081576,0.6462179509239581
8,0.7401998293906541,0.7608361160335828
9,0.6919471740903094,0.8006207739288483
10,0.6878468816184583,0.5406730955270067
11,0.6693328201402389,0.5902673341521066
12,0.6481235977055507,0.6076075263957882
13,0.6494785158224893,0.8019770279002549
14,0.645238294802779,0.5018334385737702
15,0.6265613491851525,0.5776033873234562
16,0.5978203569910104,0.7043783324747229
17,0.603844406936547,0.45642799004238455
18,0.5873400560466481,0.47550195320766775
19,0.5844092987098108,0.4355754488377116
